unicode,description,annotation
👇🏻,"WHITE DOWN POINTING BACKHAND INDEX,TYPE12","backhand,body,down,finger,hand,index,person,point"
👇🏼,"WHITE DOWN POINTING BACKHAND INDEX,TYPE3","backhand,body,down,finger,hand,index,person,point"
👇🏽,"WHITE DOWN POINTING BACKHAND INDEX,TYPE4","backhand,body,down,finger,hand,index,person,point"
👇🏾,"WHITE DOWN POINTING BACKHAND INDEX,TYPE5","backhand,body,down,finger,hand,index,person,point"
👇🏿,"WHITE DOWN POINTING BACKHAND INDEX,TYPE6","backhand,body,down,finger,hand,index,person,point"
✌️,VICTORY HAND,"body,hand,person,v,victory"
✌️🏻,"VICTORY HAND,TYPE12","body,hand,person,v,victory"
✌️🏼,"VICTORY HAND,TYPE3","body,hand,person,v,victory"
✌️🏽,"VICTORY HAND,TYPE4","body,hand,person,v,victory"
✌️🏾,"VICTORY HAND,TYPE5","body,hand,person,v,victory"
✌️🏿,"VICTORY HAND,TYPE6","body,hand,person,v,victory"
🖖,RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS vulcan salute,"body,finger,hand,person,spock,vulcan"
🖖🏻,"RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS,TYPE12","body,finger,hand,person,spock,vulcan"
🖖🏼,"RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS,TYPE3","body,finger,hand,person,spock,vulcan"
🖖🏽,"RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS,TYPE4","body,finger,hand,person,spock,vulcan"
🖖🏾,"RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS,TYPE5","body,finger,hand,person,spock,vulcan"
🖖🏿,"RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS,TYPE6","body,finger,hand,person,spock,vulcan"
🤘,SIGN OF THE HORNS,"body,finger,hand,horns,person,rockon"
🤘🏻,"SIGN OF THE HORNS,TYPE12","body,finger,hand,horns,person,rockon"
🤘🏼,"SIGN OF THE HORNS,TYPE3","body,finger,hand,horns,person,rockon"
🤘🏽,"SIGN OF THE HORNS,TYPE4","body,finger,hand,horns,person,rockon"
🤘🏾,"SIGN OF THE HORNS,TYPE5","body,finger,hand,horns,person,rockon"
🤘🏿,"SIGN OF THE HORNS,TYPE6","body,finger,hand,horns,person,rockon"
🖐️,RAISED HAND WITH FINGERS SPLAYED,"body,finger,hand,person,splayed"
🖐️🏻,"RAISED HAND WITH FINGERS SPLAYED,TYPE12","body,finger,hand,person,splayed"
🖐️🏼,"RAISED HAND WITH FINGERS SPLAYED,TYPE3","body,finger,hand,person,splayed"
🖐️🏽,"RAISED HAND WITH FINGERS SPLAYED,TYPE4","body,finger,hand,person,splayed"
🖐️🏾,"RAISED HAND WITH FINGERS SPLAYED,TYPE5","body,finger,hand,person,splayed"
🖐️🏿,"RAISED HAND WITH FINGERS SPLAYED,TYPE6","body,finger,hand,person,splayed"
✋,RAISED HAND,"body,hand,person"
✋🏻,"RAISED HAND,TYPE12","body,hand,person"
✋🏼,"RAISED HAND,TYPE3","body,hand,person"
✋🏽,"RAISED HAND,TYPE4","body,hand,person"
✋🏾,"RAISED HAND,TYPE5","body,hand,person"
✋🏿,"RAISED HAND,TYPE6","body,hand,person"
👌,OK HAND SIGN ok hand,"body,hand,ok,person"
👌🏻,"OK HAND SIGN,TYPE12","body,hand,ok,person"
👌🏼,"OK HAND SIGN,TYPE3","body,hand,ok,person"
👌🏽,"OK HAND SIGN,TYPE4","body,hand,ok,person"
👌🏾,"OK HAND SIGN,TYPE5","body,hand,ok,person"
👌🏿,"OK HAND SIGN,TYPE6","body,hand,ok,person"
👍,THUMBS UP SIGN thumbs up,"+1,body,hand,person,thumb,thumbs up,up"
👍🏻,"THUMBS UP SIGN,TYPE12","+1,body,hand,person,thumb,thumbs up,up"
👍🏼,"THUMBS UP SIGN,TYPE3","+1,body,hand,person,thumb,thumbs up,up"
👍🏽,"THUMBS UP SIGN,TYPE4","+1,body,hand,person,thumb,thumbs up,up"
👍🏾,"THUMBS UP SIGN,TYPE5","+1,body,hand,person,thumb,thumbs up,up"
👍🏿,"THUMBS UP SIGN,TYPE6","+1,body,hand,person,thumb,thumbs up,up"
👎,THUMBS DOWN SIGN thumbs down,"1,body,down,hand,person,thumb,thumbs down"
👎🏻,"THUMBS DOWN SIGN,TYPE12","1,body,down,hand,person,thumb,thumbs down"
👎🏼,"THUMBS DOWN SIGN,TYPE3","1,body,down,hand,person,thumb,thumbs down"
👎🏽,"THUMBS DOWN SIGN,TYPE4","1,body,down,hand,person,thumb,thumbs down"
👎🏾,"THUMBS DOWN SIGN,TYPE5","1,body,down,hand,person,thumb,thumbs down"
👎🏿,"THUMBS DOWN SIGN,TYPE6","1,body,down,hand,person,thumb,thumbs down"
✊,RAISED FIST,"body,clenched,fist,hand,person,punch"
✊🏻,"RAISED FIST,TYPE12","body,clenched,fist,hand,person,punch"
✊🏼,"RAISED FIST,TYPE3","body,clenched,fist,hand,person,punch"
✊🏽,"RAISED FIST,TYPE4","body,clenched,fist,hand,person,punch"
✊🏾,"RAISED FIST,TYPE5","body,clenched,fist,hand,person,punch"
✊🏿,"RAISED FIST,TYPE6","body,clenched,fist,hand,person,punch"
👊,FISTED HAND SIGN oncoming fist,"body,clenched,fist,hand,person,punch"
👊🏻,"FISTED HAND SIGN,TYPE12","body,clenched,fist,hand,person,punch"
👊🏼,"FISTED HAND SIGN,TYPE3","body,clenched,fist,hand,person,punch"
👊🏽,"FISTED HAND SIGN,TYPE4","body,clenched,fist,hand,person,punch"
👊🏾,"FISTED HAND SIGN,TYPE5","body,clenched,fist,hand,person,punch"
👊🏿,"FISTED HAND SIGN,TYPE6","body,clenched,fist,hand,person,punch"
👋,WAVING HAND SIGN waving hand,"body,hand,person,wave,waving"
👋🏻,"WAVING HAND SIGN,TYPE12","body,hand,person,wave,waving"
👋🏼,"WAVING HAND SIGN,TYPE3","body,hand,person,wave,waving"
👋🏽,"WAVING HAND SIGN,TYPE4","body,hand,person,wave,waving"
👋🏾,"WAVING HAND SIGN,TYPE5","body,hand,person,wave,waving"
👋🏿,"WAVING HAND SIGN,TYPE6","body,hand,person,wave,waving"
👏,CLAPPING HANDS SIGN clapping hands,"body,clap,hand,person"
👏🏻,"CLAPPING HANDS SIGN,TYPE12","body,clap,hand,person"
👏🏼,"CLAPPING HANDS SIGN,TYPE3","body,clap,hand,person"
👏🏽,"CLAPPING HANDS SIGN,TYPE4","body,clap,hand,person"
👏🏾,"CLAPPING HANDS SIGN,TYPE5","body,clap,hand,person"
👏🏿,"CLAPPING HANDS SIGN,TYPE6","body,clap,hand,person"
👐,OPEN HANDS SIGN open hands,"body,hand,open,person"
👐🏻,"OPEN HANDS SIGN,TYPE12","body,hand,open,person"
👐🏼,"OPEN HANDS SIGN,TYPE3","body,hand,open,person"
👐🏽,"OPEN HANDS SIGN,TYPE4","body,hand,open,person"
👐🏾,"OPEN HANDS SIGN,TYPE5","body,hand,open,person"
👐🏿,"OPEN HANDS SIGN,TYPE6","body,hand,open,person"
✍️,WRITING HAND,"body,education,hand,person,write"
✍️🏻,"WRITING HAND,TYPE12","body,education,hand,person,write"
✍️🏼,"WRITING HAND,TYPE3","body,education,hand,person,write"
✍️🏽,"WRITING HAND,TYPE4","body,education,hand,person,write"
✍️🏾,"WRITING HAND,TYPE5","body,education,hand,person,write"
✍️🏿,"WRITING HAND,TYPE6","body,education,hand,person,write"
💅,NAIL POLISH,"body,care,cosmetics,manicure,nail,person,polish"
💅🏻,"NAIL POLISH,TYPE12","body,care,cosmetics,manicure,nail,person,polish"
💅🏼,"NAIL POLISH,TYPE3","body,care,cosmetics,manicure,nail,person,polish"
💅🏽,"NAIL POLISH,TYPE4","body,care,cosmetics,manicure,nail,person,polish"
💅🏾,"NAIL POLISH,TYPE5","body,care,cosmetics,manicure,nail,person,polish"
💅🏿,"NAIL POLISH,TYPE6","body,care,cosmetics,manicure,nail,person,polish"
👂,EAR,"body,ear,person"
👂🏻,"EAR,TYPE12","body,ear,person"
👂🏼,"EAR,TYPE3","body,ear,person"
👂🏽,"EAR,TYPE4","body,ear,person"
👂🏾,"EAR,TYPE5","body,ear,person"
👂🏿,"EAR,TYPE6","body,ear,person"
👃,NOSE,"body,nose,person"
👃🏻,"NOSE,TYPE12","body,nose,person"
👃🏼,"NOSE,TYPE3","body,nose,person"
👃🏽,"NOSE,TYPE4","body,nose,person"
👃🏾,"NOSE,TYPE5","body,nose,person"
👃🏿,"NOSE,TYPE6","body,nose,person"
👣,FOOTPRINTS,"body,clothing,footprint,person,print"
👀,EYES,"body,eye,face,person"
👁️,EYE,"body,eye,person"
👁️‍🗨,"EYE,LEFT SPEECH BUBBLE eye in speech bubble","bubble,eye,speech,witness"
👅,TONGUE,"body,person,tongue"
👄,MOUTH,"body,lips,mouth,person"
💋,KISS MARK,"emotion,heart,kiss,lips,mark,person,romance"
💘,HEART WITH ARROW,"arrow,cupid,emotion,heart,person,romance"
❤️,HEAVY BLACK HEART red heart,"emotion,heart,person"
💓,BEATING HEART,"beating,emotion,heart,heartbeat,person,pulsating"
💔,BROKEN HEART,"break,broken,emotion,heart,person"
💕,TWO HEARTS,"emotion,heart,love,person"
💖,SPARKLING HEART,"emotion,excited,heart,person,sparkle"
💗,GROWING HEART,"emotion,excited,growing,heart,heartpulse,nervous,person"
💙,BLUE HEART,"blue,emotion,heart,person"
💚,GREEN HEART,"emotion,green,heart,person"
💛,YELLOW HEART,"emotion,heart,person,yellow"
💜,PURPLE HEART,"emotion,heart,person,purple"
💝,HEART WITH RIBBON,"emotion,heart,object,person,ribbon,valentine"
💞,REVOLVING HEARTS,"emotion,heart,person,revolving"
💟,HEART DECORATION,"emotion,heart,person,symbol"
❣️,HEAVY HEART EXCLAMATION MARK ORNAMENT,"emotion,exclamation,heart,mark,punctuation,symbol"
💌,LOVE LETTER,"emotion,heart,letter,love,mail,person,romance"
💤,SLEEPING SYMBOL zzz,"comic,emotion,person,sleep,symbol,word,zzz"
💢,ANGER SYMBOL,"angry,comic,emotion,mad,person,symbol"
💣,BOMB,"bomb,comic,object"
💥,COLLISION SYMBOL collision,"boom,collision,comic,emotion,person"
💦,SPLASHING SWEAT SYMBOL sweat droplets,"comic,emotion,object,person,splashing,sweat"
💨,DASH SYMBOL dashing,"comic,dash,emotion,object,person,running"
💫,DIZZY SYMBOL dizzy,"comic,dizzy,emotion,person,star"
💬,SPEECH BALLOON,"balloon,bubble,comic,dialog,emotion,object,person,speech"
🗨️,LEFT SPEECH BUBBLE,"dialog,other,speech"
🗯️,RIGHT ANGER BUBBLE,"angry,balloon,bubble,emotion,mad,symbol"
💭,THOUGHT BALLOON,"balloon,bubble,comic,emotion,object,person,thought"
🕳️,HOLE,"hole,symbol"
👓,EYEGLASSES glasses,"clothing,eye,eyeglasses,eyewear,glasses,object,person"
🕶️,DARK SUNGLASSES sunglasses,"dark,eye,eyewear,glasses,object,sunglasses"
👔,NECKTIE,"clothing,necktie,object,person"
👕,TSHIRT,"clothing,object,person,shirt,tshirt"
👖,JEANS,"clothing,jeans,object,pants,person,trousers"
👗,DRESS,"clothing,dress,object,person"
👘,KIMONO,"clothing,kimono,object,person"
👙,BIKINI,"bikini,clothing,object,person,swim"
👚,WOMANS CLOTHES,"clothing,object,person,woman"
👛,PURSE,"clothing,coin,object,person,purse"
👜,HANDBAG,"bag,clothing,handbag,object,person"
👝,POUCH,"bag,clothing,object,person,pouch"
🛍️,SHOPPING BAGS,"bag,hotel,object,shopping"
🎒,SCHOOL SATCHEL,"school backpack,activity,bag,education,object,satchel,school"
👞,MANS SHOE,"shoe,clothing,man,object,person,shoe"
👟,ATHLETIC SHOE running shoe,"athletic,clothing,object,person,shoe,sneaker"
👠,HIGHHEELED SHOE,"clothing,heel,object,person,shoe,woman"
👡,WOMANS SANDAL,"sandal,clothing,object,person,sandal,shoe,woman"
👢,WOMANS BOOTS,"boot,clothing,object,person,shoe,woman"
👑,CROWN,"clothing,crown,king,object,person,queen"
👒,WOMANS HAT,"clothing,hat,object,person,woman"
🎩,TOP HAT,"activity,clothing,entertainment,hat,object,person,top,tophat"
🎓,GRADUATION CAP,"activity,cap,celebration,clothing,education,graduation,hat,object"
📿,PRAYER BEADS,"beads,clothing,necklace,object,person,prayer,religion"
💄,LIPSTICK,"cosmetics,lipstick,makeup,object,person"
💍,RING,"diamond,emotion,object,person,ring,romance"
💎,GEM STONE,"diamond,emotion,gem,jewel,object,person,romance"
🐵,MONKEY FACE,"animal,face,monkey,nature"
🐒,MONKEY,"animal,monkey,nature"
🐶,DOG FACE,"animal,dog,face,nature,pet"
🐕,DOG,"animal,dog,nature,pet"
🐩,POODLE,"animal,dog,nature,poodle"
🐺,WOLF FACE,"animal,face,nature,wolf"
🐱,CAT FACE,"animal,cat,face,nature,pet"
🐈,CAT,"animal,cat,nature,pet"
🦁,LION FACE,"animal,face,leo,lion,nature,zodiac"
🐯,TIGER FACE,"animal,face,nature,tiger"
🐅,TIGER,"animal,nature,tiger"
🐆,LEOPARD,"animal,leopard,nature"
🐴,HORSE FACE,"animal,face,horse,nature"
🐎,HORSE,"animal,horse,nature,place,racehorse,racing"
🦄,UNICORN FACE,"animal,face,nature,unicorn"
🐮,COW FACE,"animal,cow,face,nature"
🐂,OX,"animal,bull,nature,ox,taurus,zodiac"
🐃,WATER BUFFALO,"animal,buffalo,nature,water"
🐄,COW,"animal,cow,nature"
🐷,PIG FACE,"animal,face,nature,pig"
🐖,PIG,"animal,nature,pig,sow"
🐗,BOAR,"animal,boar,nature,pig"
🐽,PIG NOSE,"animal,face,nature,nose,pig"
🐏,RAM,"animal,aries,nature,ram,sheep,zodiac"
🐑,SHEEP,"animal,ewe,nature,sheep"
🐐,GOAT,"animal,capricorn,goat,nature,zodiac"
🐪,DROMEDARY CAMEL camel,"animal,camel,dromedary,hump,nature"
🐫,BACTRIAN CAMEL twohump camel,"animal,bactrian,camel,hump,nature"
🐘,ELEPHANT,"animal,elephant,nature"
🐭,MOUSE FACE,"animal,face,mouse,nature"
🐁,MOUSE,"animal,mouse,nature"
🐀,RAT,"animal,nature,rat"
🐹,HAMSTER FACE,"animal,face,hamster,nature,pet"
🐰,RABBIT FACE,"animal,bunny,face,nature,pet,rabbit"
🐇,RABBIT,"animal,bunny,nature,pet,rabbit"
🐿️,CHIPMUNK,"animal,chipmunk,nature"
🐻,BEAR FACE,"animal,bear,face,nature"
🐨,KOALA,"animal,bear,koala,nature"
🐼,PANDA FACE,"animal,face,nature,panda"
🐾,PAW PRINTS,"animal,feet,nature,paw,print"
🦃,TURKEY,"animal,nature,turkey"
🐔,CHICKEN,"animal,chicken,nature"
🐓,ROOSTER,"animal,nature,rooster"
🐣,HATCHING CHICK,"animal,baby,chick,hatching,nature"
🐤,BABY CHICK,"animal,baby,chick,nature"
🐥,FRONTFACING BABY CHICK,"animal,baby,chick,nature"
🐦,BIRD,"animal,bird,nature"
🐧,PENGUIN,"animal,nature,penguin"
🕊️,DOVE OF PEACE dove,"animal,bird,dove,fly,nature,peace"
🐸,FROG FACE,"animal,face,frog,nature"
🐊,CROCODILE,"animal,crocodile,nature"
🐢,TURTLE,"animal,nature,turtle"
🐍,SNAKE,"animal,bearer,nature,ophiuchus,serpent,snake,zodiac"
🐲,DRAGON FACE,"animal,dragon,face,fairy tale,nature"
🐉,DRAGON,"animal,dragon,fairy tale,nature"
🐳,SPOUTING WHALE,"animal,face,nature,spouting,whale"
🐋,WHALE,"animal,nature,whale"
🐬,DOLPHIN,"animal,dolphin,flipper,nature"
🐟,FISH,"animal,fish,nature,pisces,zodiac"
🐠,TROPICAL FISH,"animal,fish,nature,tropical"
🐡,BLOWFISH,"animal,blowfish,fish,nature"
🐙,OCTOPUS,"animal,nature,octopus"
🐚,SPIRAL SHELL,"animal,nature,shell,spiral"
🦀,CRAB,"animal,cancer,crab,nature,zodiac"
🐌,SNAIL,"animal,nature,snail"
🐛,BUG,"animal,bug,insect,nature"
🐜,ANT,"animal,ant,insect,nature"
🐝,HONEYBEE,"animal,bee,honeybee,insect,nature"
🐞,LADY BEETLE,"animal,beetle,insect,lady beetle,ladybird,ladybug,nature"
🕷️,SPIDER,"animal,insect,object,spider"
🕸️,SPIDER WEB,"animal,object,spider,web"
🦂,SCORPION,"animal,nature,scorpio,scorpion,scorpius,zodiac"
💐,BOUQUET,"bouquet,flower,nature,object,place,plant,romance"
🌸,CHERRY BLOSSOM,"blossom,cherry,flower,nature,plant"
💮,WHITE FLOWER,"flower,object,symbol"
🏵️,ROSETTE,"nature,plant,rosette"
🌹,ROSE,"flower,nature,plant,rose"
🌺,HIBISCUS,"flower,hibiscus,nature,plant"
🌻,SUNFLOWER,"flower,nature,plant,sun,sunflower"
🌼,BLOSSOM,"blossom,flower,nature,plant"
🌷,TULIP,"flower,nature,plant,tulip"
🌱,SEEDLING,"nature,plant,seedling,young"
🌲,EVERGREEN TREE evergreen,"evergreen,nature,plant,tree"
🌳,DECIDUOUS TREE,"deciduous,nature,plant,shedding,tree"
🌴,PALM TREE,"nature,palm,plant,tree"
🌵,CACTUS,"cactus,nature,plant"
🌾,EAR OF RICE sheaf of rice,"ear,nature,plant,rice"
🌿,HERB,"herb,leaf,nature,plant"
☘️,SHAMROCK,"nature,plant,shamrock"
🍀,FOUR LEAF CLOVER,"4,clover,four,leaf,nature,plant"
🍁,MAPLE LEAF,"falling,leaf,maple,nature,plant"
🍂,FALLEN LEAF,"falling,leaf,nature,plant"
🍃,LEAF FLUTTERING IN WIND,"blow,flutter,leaf,nature,plant,wind"
🍇,GRAPES,"food,fruit,grape,nature,object,plant"
🍈,MELON,"food,fruit,melon,nature,object,plant"
🍉,WATERMELON,"food,fruit,nature,object,plant,watermelon"
🍊,TANGERINE,"food,fruit,nature,object,orange,plant,tangerine"
🍋,LEMON,"citrus,food,fruit,lemon,nature,object,plant"
🍌,BANANA,"banana,food,fruit,nature,object,plant"
🍍,PINEAPPLE,"food,fruit,nature,object,pineapple,plant"
🍎,RED APPLE,"apple,food,fruit,nature,object,plant,red"
🍏,GREEN APPLE,"apple,food,fruit,green,nature,object,plant"
🍐,PEAR,"food,fruit,nature,object,pear,plant"
🍑,PEACH,"food,fruit,nature,object,peach,plant"
🍒,CHERRIES,"cherry,food,fruit,nature,object,plant"
🍓,STRAWBERRY,"berry,food,fruit,nature,object,plant,strawberry"
🍅,TOMATO,"food,nature,object,plant,tomato,vegetable"
🍆,AUBERGINE eggplant,"aubergine,eggplant,food,nature,object,plant,vegetable"
🌽,EAR OF MAIZE ear of corn,"corn,ear,maize,maze,nature,object,plant"
🌶️,HOT PEPPER,"food,hot,nature,pepper,plant"
🍄,MUSHROOM,"mushroom,nature,plant"
🌰,CHESTNUT,"chestnut,nature,plant"
🍞,BREAD,"bread,food,loaf,nature,object"
🧀,CHEESE WEDGE,"cheese,food,nature"
🍖,MEAT ON BONE,"bone,food,meat,nature,object"
🍗,POULTRY LEG,"bone,chicken,food,leg,nature,object,poultry"
🍔,HAMBURGER,"burger,food,hamburger,nature,object"
🍟,FRENCH FRIES,"food,french,fries,nature,object"
🍕,SLICE OF PIZZA pizza,"cheese,food,nature,object,pizza,slice"
🌭,HOT DOG,"food,frankfurter,hot dog,hotdog,nature,sausage"
🌮,TACO,"food,mexican,nature,taco"
🌯,BURRITO,"burrito,food,mexican,nature"
🍳,COOKING,"cooking,egg,food,frying,nature,object,pan"
🍲,POT OF FOOD,"food,nature,object,pot,stew"
🍿,POPCORN,"food,nature,popcorn"
🍱,BENTO BOX,"bento,box,food,nature,object"
🍘,RICE CRACKER,"cracker,food,nature,object,rice"
🍙,RICE BALL,"ball,food,japanese,nature,object,rice"
🍚,COOKED RICE,"cooked,food,nature,object,rice"
🍛,CURRY AND RICE curry rice,"curry,food,nature,object,rice"
🍜,STEAMING BOWL,"bowl,food,nature,noodle,object,ramen,steaming"
🍝,SPAGHETTI,"food,nature,object,pasta,spaghetti"
🍠,ROASTED SWEET POTATO,"food,nature,object,potato,roasted,sweet"
🍢,ODEN,"food,kebab,nature,object,oden,seafood,skewer,stick"
🍣,SUSHI,"food,nature,object,sushi"
🍤,FRIED SHRIMP,"food,fried,nature,object,prawn,shrimp,tempura"
🍥,FISH CAKE WITH SWIRL DESIGN fish cake with swirl,"cake,fish,food,nature,object,pastry,swirl"
🍡,DANGO,"dango,dessert,food,japanese,nature,object,skewer,stick,sweet"
🍦,SOFT ICE CREAM,"cream,dessert,food,ice,icecream,nature,object,soft,sweet"
🍧,SHAVED ICE,"dessert,food,ice,nature,object,shaved,sweet"
🍨,ICE CREAM,"cream,dessert,food,ice,nature,object,sweet"
🍩,DOUGHNUT,"dessert,donut,doughnut,food,nature,object,sweet"
🍪,COOKIE,"cookie,dessert,food,nature,object,sweet"
🎂,BIRTHDAY CAKE,"birthday,cake,celebration,dessert,food,object,pastry,sweet"
🍰,SHORTCAKE,"cake,dessert,food,nature,object,pastry,shortcake,slice,sweet"
🍫,CHOCOLATE BAR,"bar,chocolate,dessert,food,nature,object,sweet"
🍬,CANDY,"candy,dessert,food,nature,object,sweet"
🍭,LOLLIPOP,"candy,dessert,food,lollipop,nature,object,sweet"
🍮,CUSTARD,"custard,dessert,food,nature,object,pudding,sweet"
🍯,HONEY POT,"food,honey,honeypot,nature,object,pot,sweet"
🍼,BABY BOTTLE,"baby,bottle,drink,milk,nature,object"
☕️,HOT BEVERAGE,"beverage,coffee,drink,hot,nature,object,steaming,tea"
🍵,TEACUP WITHOUT HANDLE,"beverage,cup,drink,nature,object,tea,teacup"
🍶,SAKE BOTTLE AND CUP sake,"bar,beverage,bottle,cup,drink,nature,object,sake"
🍾,BOTTLE WITH POPPING CORK,"bar,bottle,cork,drink,nature,popping"
🍷,WINE GLASS,"bar,beverage,drink,glass,nature,object,wine"
🍸,COCKTAIL GLASS,"bar,cocktail,drink,glass,nature,object"
🍹,TROPICAL DRINK,"bar,drink,nature,object,tropical"
🍺,BEER MUG,"bar,beer,drink,mug,nature,object"
🍻,CLINKING BEER MUGS,"bar,beer,clink,drink,mug,nature,object"
🍽️,FORK AND KNIFE WITH PLATE,"cooking,food,fork,knife,object,place,plate"
🍴,FORK AND KNIFE,"cooking,food,fork,knife,nature,object"
🔪,HOCHO kitchen knife,"cooking,hocho,knife,object,tool,weapon"
🏺,AMPHORA,"amphora,aquarius,cooking,drink,jug,nature,tool,weapon,zodiac"
🌍,EARTH GLOBE EUROPEAFRICA globe showing europeafrica,"africa,earth,europe,globe,nature,place,world"
🌎,EARTH GLOBE AMERICAS globe showing americas,"americas,earth,globe,nature,place,world"
🌏,EARTH GLOBE ASIAAUSTRALIA globe showing asiaaustralia,"asia,australia,earth,globe,nature,place,world"
🌐,GLOBE WITH MERIDIANS,"earth,globe,meridians,nature,place,world"
